Word,Revised,Correct,Content
父母,10,10,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的父母愛我。"",""english"":""""},{""chinese"":""父母帶我上學去。"",""english"":""""},{""chinese"":""我常常幫父母做家務。"",""english"":""""}]}"
爸爸,10,10,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的爸爸很高大。"",""english"":""""},{""chinese"":""爸爸和媽媽是我的父母。"",""english"":""""},{""chinese"":""爸爸喜歡和弟弟一起讀書。"",""english"":""""}]}"
媽媽,10,10,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽每天接我放學。"",""english"":""""},{""chinese"":""媽媽是我的母親。"",""english"":""""},{""chinese"":""媽媽和爸爸很愛我。"",""english"":""""}]}"
父親,16,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的父親是醫生。"",""english"":""""},{""chinese"":""父親和媽媽很愛我。"",""english"":""""},{""chinese"":""我的父親是個好爸爸。"",""english"":""""}]}"
母親,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""母親很愛她的孩子。"",""english"":""""},{""chinese"":""我的母親是媽媽。"",""english"":""""},{""chinese"":""母親節快樂！"",""english"":""""}]}"
姐姐,6,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我有一個好姐姐。"",""english"":""""},{""chinese"":""姐姐和哥哥一起玩耍。"",""english"":""""},{""chinese"":""姐姐是學生。"",""english"":""""}]}"
姊姊,9,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""姊姊教我做功課。"",""english"":""""},{""chinese"":""姊姊和她的同學都是女孩子。"",""english"":""""},{""chinese"":""我和姊姊一起玩遊戲。"",""english"":""""}]}"
哥哥,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""哥哥喜歡踢足球。"",""english"":""""},{""chinese"":""哥哥和我是好同學。"",""english"":""""},{""chinese"":""我有一個哥哥。"",""english"":""""}]}"
弟弟,11,11,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我有一個弟弟。"",""english"":""""},{""chinese"":""弟弟喜歡玩玩具車。"",""english"":""""},{""chinese"":""我的弟弟是一個男孩子。"",""english"":""""}]}"
妹妹,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我有一個妹妹。"",""english"":""""},{""chinese"":""妹妹喜歡和哥哥玩。"",""english"":""""},{""chinese"":""我的妹妹是一個女孩子。"",""english"":""""}]}"
祖父,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的祖父每天早上都去公園散步。"",""english"":""""},{""chinese"":""祖父講了很多故事給我和弟弟聽。"",""english"":""""},{""chinese"":""祖父是一個很好的廚師，他會煮飯。"",""english"":""""}]}"
祖母,23,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我的祖母很愛我。"",""english"":""""},{""chinese"":""祖母會給我講故事。"",""english"":""""},{""chinese"":""爸爸的媽媽是我的祖母。"",""english"":""""}]}"
外婆,10,8,"{""pinyin"":""wài pó"",""english"":""maternal grandmother"",""examples"":[{""chinese"":""我愛我的外婆。"",""english"":""I love my maternal grandmother.""},{""chinese"":""外婆和媽媽常常一起去買菜。"",""english"":""Maternal grandmother and Mum often go grocery shopping together.""},{""chinese"":""外婆的家有很多好吃的東西。"",""english"":""Maternal grandmother's house has a lot of delicious food.""}]}"
外公,9,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽和外公一起去看電影。"",""english"":""""},{""chinese"":""外公常常帶我去買糖果。"",""english"":""""},{""chinese"":""我的外公以前是個郵差。"",""english"":""""}]}"
爺爺,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""爺爺送給我一個新玩具。"",""english"":""""},{""chinese"":""我的爸爸和爺爺是醫生。"",""english"":""""},{""chinese"":""爺爺喜歡和小朋友聊天。"",""english"":""""}]}"
奶奶,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""奶奶煮飯很好吃。"",""english"":""""},{""chinese"":""奶奶和爺爺喜歡散步。"",""english"":""""},{""chinese"":""我愛我的奶奶。"",""english"":""""}]}"
小朋友,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""老師帶著小朋友去圖書館。"",""english"":""""},{""chinese"":""公園裡有很多小朋友在玩耍。"",""english"":""""},{""chinese"":""小朋友們都很喜歡聽故事。"",""english"":""""}]}"
男孩子,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""這是一個男孩子。"",""english"":""""},{""chinese"":""男孩子喜歡玩玩具車。"",""english"":""""},{""chinese"":""他是一個可愛的男孩子。"",""english"":""""}]}"
女孩子,7,7,"{""pinyin"":""nǚ hái zi"",""english"":""girl"",""examples"":[{""chinese"":""她是一個女孩子。"",""english"":""She is a girl.""},{""chinese"":""我的妹妹是一個女孩子。"",""english"":""My younger sister is a girl.""},{""chinese"":""這個女孩子和她的媽媽去公園。"",""english"":""This girl and her mom go to the park.""}]}"
消防員,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""消防員叔叔很勇敢。"",""english"":""""},{""chinese"":""我的爸爸想做消防員。"",""english"":""""},{""chinese"":""消防員幫助小朋友。"",""english"":""""}]}"
救護員,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""救護員幫助病人。"",""english"":""""},{""chinese"":""救護員和醫生都是好人。"",""english"":""""},{""chinese"":""我長大想做救護員。"",""english"":""""}]}"
廚師,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""廚師會煮很多好吃的東西。"",""english"":""""},{""chinese"":""我長大想做一個廚師。"",""english"":""""},{""chinese"":""酒店裡有很多廚師。"",""english"":""""}]}"
農夫,8,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""農夫在田裡種了很多蔬菜。"",""english"":""""},{""chinese"":""我的祖父以前也是一個農夫。"",""english"":""""},{""chinese"":""農夫每天很早就要起來工作。"",""english"":""""}]}"
牙醫,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽帶我去看牙醫。"",""english"":""""},{""chinese"":""牙醫就像醫生一樣，會幫我們照顧牙齒。"",""english"":""""},{""chinese"":""姊姊很勇敢，不怕看牙醫。"",""english"":""""}]}"
郵差,8,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""郵差叔叔送信來了。"",""english"":""""},{""chinese"":""郵差每天都很忙碌。"",""english"":""""},{""chinese"":""我看到郵差和警察。"",""english"":""""}]}"
警察,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""警察幫助有困難的人。"",""english"":""""},{""chinese"":""那位警察很勇敢。"",""english"":""""},{""chinese"":""警察在街上巡邏。"",""english"":""""}]}"
校長,9,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""校長在學校裡。"",""english"":""""},{""chinese"":""校長和老師都很愛學生。"",""english"":""""},{""chinese"":""校長向我們打招呼。"",""english"":""""}]}"
老師,9,9,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""老師在課室裡教導學生。"",""english"":""""},{""chinese"":""我喜歡我的老師，她很好人。"",""english"":""""},{""chinese"":""老師和同學一起唱歌。"",""english"":""""}]}"
學生,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我是一個好學生。"",""english"":""""},{""chinese"":""老師和學生一起學習。"",""english"":""""},{""chinese"":""學生們在校長室。"",""english"":""""}]}"
同學,6,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我和同學一起踢足球。"",""english"":""""},{""chinese"":""我的同學有男孩子也有女孩子。"",""english"":""""},{""chinese"":""老師叫同學不要說話。"",""english"":""""}]}"
醫生,6,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽帶我去看醫生。"",""english"":""""},{""chinese"":""醫生和護士會照顧我們。"",""english"":""""},{""chinese"":""牙醫也是醫生。"",""english"":""""}]}"
護士,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""護士姐姐在醫院工作。"",""english"":""""},{""chinese"":""護士幫病人打針。"",""english"":""""},{""chinese"":""護士照顧生病的小朋友。"",""english"":""""}]}"
過,10,8,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我和媽媽一起過馬路。"",""english"":""""},{""chinese"":""小鳥從我頭上飛過。"",""english"":""""},{""chinese"":""我吃過奶奶煮的麵。"",""english"":""""}]}"
辣,10,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""這個菜很辣。"",""english"":""""},{""chinese"":""媽媽煮的蝦很辣。"",""english"":""""},{""chinese"":""弟弟不喜歡吃辣。"",""english"":""""}]}"
福,13,1,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""爺爺和奶奶過著幸福的生活。"",""english"":""""},{""chinese"":""老師祝我們學習有福氣。"",""english"":""""},{""chinese"":""我祝爸爸媽媽身體健康，很有福。"",""english"":""""}]}"
蝦,6,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽喜歡吃蝦。"",""english"":""""},{""chinese"":""廚師切蝦給小朋友吃。"",""english"":""""},{""chinese"":""姊姊很喜歡吃辣蝦。"",""english"":""""}]}"
切,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽在廚房切菜。"",""english"":""""},{""chinese"":""姐姐幫忙切水果。"",""english"":""""},{""chinese"":""爸爸切蛋糕給大家吃。"",""english"":""""}]}"
外,6,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我們去外面玩。"",""english"":""""},{""chinese"":""外婆帶我到公園。"",""english"":""""},{""chinese"":""爺爺在外面等我。"",""english"":""""}]}"
喜,9,4,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我喜愛吃蝦。"",""english"":""""},{""chinese"":""妹妹很喜愛她的新書包。"",""english"":""""},{""chinese"":""小朋友們最喜愛玩遊戲。"",""english"":""""}]}"
圖,7,7,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我喜歡看圖畫書。"",""english"":""""},{""chinese"":""這是一張美麗的圖畫。"",""english"":""""},{""chinese"":""老師請我們畫一幅圖。"",""english"":""""}]}"
敲,11,5,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""爸爸回家時會敲門。"",""english"":""""},{""chinese"":""老師敲了敲黑板，叫同學們安靜。"",""english"":""""},{""chinese"":""小弟弟喜歡用手敲桌面。"",""english"":""""}]}"
樓,27,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""這座樓很高，小朋友們喜歡在這裡玩。"",""english"":""""},{""chinese"":""哥哥在樓下等我。"",""english"":""""},{""chinese"":""媽媽在樓下買菜。"",""english"":""""}]}"
算,9,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""老師教我們算數。"",""english"":""""},{""chinese"":""我會算一加一。"",""english"":""""},{""chinese"":""弟弟在算有幾多隻蝦。"",""english"":""""}]}"
廚,5,5,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""廚師在廚房裏工作。"",""english"":""""},{""chinese"":""媽媽在廚房煮晚餐。"",""english"":""""},{""chinese"":""爸爸是個好廚師。"",""english"":""""}]}"
煙,8,5,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""火災時會有濃煙。"",""english"":""""},{""chinese"":""爸爸不應該吸煙。"",""english"":""""},{""chinese"":""煙囪冒出很多煙。"",""english"":""""}]}"
經,9,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我們經過了學校。"",""english"":""""},{""chinese"":""媽媽說我已經長大了。"",""english"":""""},{""chinese"":""我一次經過了遊樂場。"",""english"":""""}]}"
照,11,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽幫我照相。"",""english"":""""},{""chinese"":""姐姐會照顧弟弟。"",""english"":""""},{""chinese"":""太陽照亮了房間。"",""english"":""""}]}"
最,23,1,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽是世界上最愛我的人。"",""english"":""""},{""chinese"":""我最喜歡吃蝦。"",""english"":""""},{""chinese"":""誰是班裏最高的男孩子？"",""english"":""""}]}"
誰,9,6,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""那位醫生是誰？"",""english"":""""},{""chinese"":""誰敲門呀？"",""english"":""""},{""chinese"":""誰是我的爸爸？"",""english"":""""}]}"
弄,11,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""弟弟把我的書包弄濕了。"",""english"":""""},{""chinese"":""不要把食物弄到地上，要愛惜食物。"",""english"":""""},{""chinese"":""我幫爸爸把網球拍弄好。"",""english"":""""}]}"
渡輪,10,5,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""爸爸媽媽帶小朋友坐渡輪。"",""english"":""""},{""chinese"":""我和姐姐坐渡輪過海。"",""english"":""""},{""chinese"":""這艘渡輪很大，可以載很多學生。"",""english"":""""}]}"
富,20,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""公園裡的顏色真豐富。"",""english"":""""},{""chinese"":""爸爸說要努力工作，將來才富裕。"",""english"":""""},{""chinese"":""我們家有很多食物，真豐富。"",""english"":""""}]}"
景,9,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我最喜歡這裡的風景。"",""english"":""""},{""chinese"":""從窗口望出去，景色很美。"",""english"":""""},{""chinese"":""我們在渡輪上欣賞風景。"",""english"":""""}]}"
晶,10,3,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽買了一條水晶手鏈。"",""english"":""""},{""chinese"":""天上的星星亮晶晶。"",""english"":""""},{""chinese"":""洗乾淨的玻璃窗亮晶晶的。"",""english"":""""}]}"
森,4,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""森林裡有很多樹。"",""english"":""""},{""chinese"":""我喜歡去森林散步。"",""english"":""""},{""chinese"":""森林是動物的家。"",""english"":""""}]}"
游,6,1,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我喜歡和爸爸去游泳池游泳。"",""english"":""""},{""chinese"":""小金魚在魚缸裡快樂地游來游去。"",""english"":""""},{""chinese"":""夏天哥哥和弟弟喜歡去海邊游泳。"",""english"":""""}]}"
遊,5,2,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我喜歡和爸爸媽媽去公園遊玩。"",""english"":""""},{""chinese"":""週末我和哥哥姐姐一起去遊樂場。"",""english"":""""},{""chinese"":""外公外婆喜歡去外國旅遊。"",""english"":""""}]}"
湯,16,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽煮的湯很好喝，我把整碗湯都喝完了。"",""english"":""""},{""chinese"":""冬天很冷，喝一碗熱湯會很舒服。"",""english"":""""},{""chinese"":""廚師叔叔煮了很多美味的湯給我們吃。"",""english"":""""}]}"
窗,4,4,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我喜歡坐在窗邊看風景。"",""english"":""""},{""chinese"":""媽媽打開了窗，讓陽光進來。"",""english"":""""},{""chinese"":""小朋友在窗上畫畫。"",""english"":""""}]}"
童,6,1,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""兒童喜歡玩遊戲。"",""english"":""""},{""chinese"":""我們有一個快樂的童年。"",""english"":""""},{""chinese"":""這是一本童話故事書。"",""english"":""""}]}"
結,15,1,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我把繩子打了一個結。"",""english"":""""},{""chinese"":""老師說我們今天會結束這課。"",""english"":""""},{""chinese"":""聖誕樹上掛滿了彩結。"",""english"":""""}]}"
食物,3,1,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""這些食物很健康，有很多蔬菜。"",""english"":""""},{""chinese"":""我不喜歡吃辣的食物。"",""english"":""""},{""chinese"":""我們吃晚餐的時候，有很多好吃的食物。"",""english"":""""}]}"
糖果,4,2,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我最喜歡吃甜甜的糖果。"",""english"":""""},{""chinese"":""吃太多糖果會容易看牙醫。"",""english"":""""},{""chinese"":""弟弟把他的糖果分給姐姐。"",""english"":""""}]}"
早餐,2,2,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""媽媽煮了美味的早餐。"",""english"":""""},{""chinese"":""哥哥喜歡吃通粉做早餐。"",""english"":""""},{""chinese"":""早餐吃得健康，身體好。"",""english"":""""}]}"
午餐,1,1,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""學生中午在學校吃午餐。"",""english"":""""},{""chinese"":""媽媽為我準備了健康午餐。"",""english"":""""},{""chinese"":""午餐時，我會和同學們分享食物。"",""english"":""""}]}"
晚餐,3,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我們一家人每天晚上都一起吃晚餐。"",""english"":""""},{""chinese"":""今天晚餐媽媽煮了很多蔬菜。"",""english"":""""},{""chinese"":""吃完晚餐後，我會去散步運動。"",""english"":""""}]}"
蔬菜,3,3,
通粉,4,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我今天的午餐是雞蛋通粉。"",""english"":""""},{""chinese"":""媽媽煮的通粉很好吃。"",""english"":""""},{""chinese"":""我很喜歡吃有湯的通粉。"",""english"":""""}]}"
粥,4,0,
健康,4,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""小朋友多做運動，身體會很健康。"",""english"":""""},{""chinese"":""吃多點蔬菜，對健康有益。"",""english"":""""},{""chinese"":""哥哥有健康的習慣。"",""english"":""""}]}"
習慣,3,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我每天跑步，這是一個好習慣。"",""english"":""""},{""chinese"":""姊姊有早睡早起的習慣。"",""english"":""""},{""chinese"":""弟弟習慣了吃通粉做早餐。"",""english"":""""}]}"
運動,3,0,"{""pinyin"":"""",""english"":"""",""examples"":[{""chinese"":""我喜歡和哥哥一起做運動。"",""english"":""""},{""chinese"":""爸爸每天跑步，所以他很健康。"",""english"":""""},{""chinese"":""我和同學一起打網球。"",""english"":""""}]}"
跑步,0,0,
踏,0,0,
網球,0,0,
幫,0,0,
盪,0,0,
旁邊,0,0,
對面,0,0,
模樣,0,0,